sets,artist,venue,month,day,year,tour,song_num,album,city
Hope,Vampire Weekend,"The OVO Hydro, Glasgow, Scotland",Dec,8,2024,Only God Was Above Us,23,Only God Was Above Us,Glasgow
Campus,Vampire Weekend,"The OVO Hydro, Glasgow, Scotland",Dec,8,2024,Only God Was Above Us,35,Vampire Weekend,Glasgow
Walcott,Vampire Weekend,"The OVO Hydro, Glasgow, Scotland",Dec,8,2024,Only God Was Above Us,36,Vampire Weekend,Glasgow
Holiday,Vampire Weekend,"Civic Hall, Wolverhampton, England",Dec,6,2024,Only God Was Above Us,1,Contra,Wolverhampton
Oxford Comma,Vampire Weekend,"Civic Hall, Wolverhampton, England",Dec,6,2024,Only God Was Above Us,2,Vampire Weekend,Wolverhampton
One (Blake's Got a New Face),Vampire Weekend,"Civic Hall, Wolverhampton, England",Dec,6,2024,Only God Was Above Us,3,Vampire Weekend,Wolverhampton
Ice Cream Piano,Vampire Weekend,"Civic Hall, Wolverhampton, England",Dec,6,2024,Only God Was Above Us,4,Only God Was Above Us,Wolverhampton
Classical,Vampire Weekend,"Civic Hall, Wolverhampton, England",Dec,6,2024,Only God Was Above Us,5,Only God Was Above Us,Wolverhampton
Connect,Vampire Weekend,"Civic Hall, Wolverhampton, England",Dec,6,2024,Only God Was Above Us,6,Only God Was Above Us,Wolverhampton
White Sky,Vampire Weekend,"Civic Hall, Wolverhampton, England",Dec,6,2024,Only God Was Above Us,7,Contra,Wolverhampton
Unbelievers,Vampire Weekend,"Civic Hall, Wolverhampton, England",Dec,6,2024,Only God Was Above Us,8,Modern Vampires of the City,Wolverhampton
This Life,Vampire Weekend,"Civic Hall, Wolverhampton, England",Dec,6,2024,Only God Was Above Us,9,Father of the Bride,Wolverhampton
Sunflower,Vampire Weekend,"Civic Hall, Wolverhampton, England",Dec,6,2024,Only God Was Above Us,10,Father of the Bride,Wolverhampton
Sympathy,Vampire Weekend,"Civic Hall, Wolverhampton, England",Dec,6,2024,Only God Was Above Us,11,Father of the Bride,Wolverhampton
Giving Up the Gun,Vampire Weekend,"Civic Hall, Wolverhampton, England",Dec,6,2024,Only God Was Above Us,12,Contra,Wolverhampton
Pravda,Vampire Weekend,"Civic Hall, Wolverhampton, England",Dec,6,2024,Only God Was Above Us,13,Only God Was Above Us,Wolverhampton
Capricorn,Vampire Weekend,"Civic Hall, Wolverhampton, England",Dec,6,2024,Only God Was Above Us,14,Only God Was Above Us,Wolverhampton
Gen-X Cops,Vampire Weekend,"Civic Hall, Wolverhampton, England",Dec,6,2024,Only God Was Above Us,15,Only God Was Above Us,Wolverhampton
Diane Young,Vampire Weekend,"Civic Hall, Wolverhampton, England",Dec,6,2024,Only God Was Above Us,16,Modern Vampires of the City,Wolverhampton
Cousins,Vampire Weekend,"Civic Hall, Wolverhampton, England",Dec,6,2024,Only God Was Above Us,17,Contra,Wolverhampton
A-Punk,Vampire Weekend,"Civic Hall, Wolverhampton, England",Dec,6,2024,Only God Was Above Us,18,Vampire Weekend,Wolverhampton
Cocaine Cowboys,Vampire Weekend,"Civic Hall, Wolverhampton, England",Dec,6,2024,Only God Was Above Us,19,Other,Wolverhampton
Mary Boone,Vampire Weekend,"Civic Hall, Wolverhampton, England",Dec,6,2024,Only God Was Above Us,20,Only God Was Above Us,Wolverhampton
Harmony Hall,Vampire Weekend,"Civic Hall, Wolverhampton, England",Dec,6,2024,Only God Was Above Us,21,Father of the Bride,Wolverhampton
Hope,Vampire Weekend,"Civic Hall, Wolverhampton, England",Dec,6,2024,Only God Was Above Us,22,Only God Was Above Us,Wolverhampton
Walcott,Vampire Weekend,"Civic Hall, Wolverhampton, England",Dec,6,2024,Only God Was Above Us,35,Vampire Weekend,Wolverhampton
Hold You Now,Vampire Weekend,"Eventim Apollo, London, England",Dec,5,2024,Only God Was Above Us,1,Father of the Bride,London
Campus,Vampire Weekend,"Eventim Apollo, London, England",Dec,5,2024,Only God Was Above Us,2,Vampire Weekend,London
I Stand Corrected,Vampire Weekend,"Eventim Apollo, London, England",Dec,5,2024,Only God Was Above Us,3,Vampire Weekend,London
Ice Cream Piano,Vampire Weekend,"Eventim Apollo, London, England",Dec,5,2024,Only God Was Above Us,4,Only God Was Above Us,London
Classical,Vampire Weekend,"Eventim Apollo, London, England",Dec,5,2024,Only God Was Above Us,5,Only God Was Above Us,London
Connect,Vampire Weekend,"Eventim Apollo, London, England",Dec,5,2024,Only God Was Above Us,6,Only God Was Above Us,London
Unbelievers,Vampire Weekend,"Eventim Apollo, London, England",Dec,5,2024,Only God Was Above Us,7,Modern Vampires of the City,London
Cape Cod Kwassa Kwassa,Vampire Weekend,"Eventim Apollo, London, England",Dec,5,2024,Only God Was Above Us,8,Vampire Weekend,London
This Life,Vampire Weekend,"Eventim Apollo, London, England",Dec,5,2024,Only God Was Above Us,9,Father of the Bride,London
Sympathy,Vampire Weekend,"Eventim Apollo, London, England",Dec,5,2024,Only God Was Above Us,10,Father of the Bride,London
New Dorp. New York,Vampire Weekend,"Eventim Apollo, London, England",Dec,5,2024,Only God Was Above Us,11,Other,London
Run,Vampire Weekend,"Eventim Apollo, London, England",Dec,5,2024,Only God Was Above Us,12,Contra,London
Pravda,Vampire Weekend,"Eventim Apollo, London, England",Dec,5,2024,Only God Was Above Us,13,Only God Was Above Us,London
Ottoman,Vampire Weekend,"Eventim Apollo, London, England",Dec,5,2024,Only God Was Above Us,14,Other,London
Capricorn,Vampire Weekend,"Eventim Apollo, London, England",Dec,5,2024,Only God Was Above Us,15,Only God Was Above Us,London
Gen-X Cops,Vampire Weekend,"Eventim Apollo, London, England",Dec,5,2024,Only God Was Above Us,16,Only God Was Above Us,London
Diane Young,Vampire Weekend,"Eventim Apollo, London, England",Dec,5,2024,Only God Was Above Us,17,Modern Vampires of the City,London
Cousins,Vampire Weekend,"Eventim Apollo, London, England",Dec,5,2024,Only God Was Above Us,18,Contra,London
A-Punk,Vampire Weekend,"Eventim Apollo, London, England",Dec,5,2024,Only God Was Above Us,19,Vampire Weekend,London
Prep-School Gangsters,Vampire Weekend,"Eventim Apollo, London, England",Dec,5,2024,Only God Was Above Us,20,Only God Was Above Us,London
